Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
2009-01-01 00:00:00,996.528,-8.303999999999998,265.11800000000005,-9.120000000000001,93.78,3.2600000000000002,3.0580000000000003,0.202,1.9100000000000001,3.068,1309.196,0.5199999999999999,1.002,174.45999999999998
2009-01-01 01:00:00,996.525,-8.065,265.3616666666667,-8.861666666666666,93.93333333333334,3.323333333333333,3.1216666666666666,0.20166666666666666,1.9516666666666664,3.1333333333333333,1307.9816666666668,0.3166666666666667,0.7116666666666666,172.41666666666666
2009-01-01 02:00:00,996.7449999999999,-8.763333333333334,264.64500000000004,-9.61,93.53333333333335,3.145,2.94,0.20166666666666666,1.8366666666666667,2.9499999999999997,1311.8166666666666,0.24833333333333338,0.6066666666666666,196.8166666666667
2009-01-01 03:00:00,996.9866666666667,-8.896666666666667,264.4916666666666,-9.786666666666667,93.2,3.1116666666666664,2.8983333333333334,0.21,1.8116666666666668,2.9066666666666667,1312.8133333333335,0.17666666666666667,0.6066666666666666,157.08333333333334
2009-01-01 04:00:00,997.1583333333333,-9.348333333333334,264.02666666666664,-10.345,92.38333333333334,3.001666666666667,2.7750000000000004,0.23166666666666666,1.7333333333333334,2.78,1315.355,0.29000000000000004,0.6699999999999999,150.0933333333333
2009-01-01 05:00:00,997.5100000000001,-9.716666666666667,263.63000000000005,-10.71,92.38333333333333,2.9150000000000005,2.6950000000000003,0.22333333333333336,1.6816666666666666,2.6999999999999997,1317.7,0.325,0.8133333333333334,118.88666666666666
2009-01-01 06:00:00,997.955,-9.298333333333332,264.01500000000004,-10.28,92.48333333333333,3.016666666666666,2.786666666666667,0.225,1.7383333333333333,2.793333333333333,1316.1516666666666,0.8183333333333334,1.5016666666666667,145.235
2009-01-01 07:00:00,998.685,-8.543333333333335,264.7166666666667,-9.458333333333334,93.05000000000001,3.1999999999999997,2.978333333333333,0.22,1.8549999999999998,2.981666666666667,1313.2616666666668,1.405,1.9416666666666664,326.7
2009-01-01 08:00:00,999.3766666666667,-7.9266666666666685,265.28,-8.905000000000001,92.61666666666666,3.356666666666666,3.11,0.24833333333333332,1.9383333333333335,3.111666666666667,1311.05,0.5066666666666667,0.8766666666666666,219.5666666666667
2009-01-01 09:00:00,999.8683333333333,-7.398333333333333,265.77,-8.496666666666668,91.78333333333335,3.498333333333333,3.2116666666666664,0.28833333333333333,2.0016666666666665,3.2116666666666664,1309.0366666666666,0.7000000000000001,1.6483333333333334,180.655
2009-01-01 10:00:00,1000.5883333333333,-7.194999999999999,265.9216666666667,-8.38,91.16666666666667,3.5549999999999997,3.241666666666667,0.31333333333333335,2.0166666666666666,3.24,1308.9633333333334,1.635,3.0833333333333335,267.06666666666666
2009-01-01 11:00:00,1000.6483333333334,-7.278333333333333,265.83,-8.595,90.23333333333333,3.5316666666666667,3.186666666666667,0.345,1.9833333333333334,3.183333333333333,1309.4783333333332,1.555,2.6483333333333334,226.98333333333335
2009-01-01 12:00:00,1000.1450000000001,-6.611666666666667,266.5383333333333,-8.023333333333333,89.58333333333333,3.7183333333333333,3.3350000000000004,0.38833333333333336,2.075,3.3333333333333335,1305.465,1.623333333333333,2.608333333333333,208.0
2009-01-01 13:00:00,999.9483333333334,-5.871666666666666,267.295,-7.508333333333333,88.11666666666666,3.938333333333334,3.47,0.4683333333333333,2.16,3.47,1301.53,1.0733333333333333,1.6900000000000002,162.3
2009-01-01 14:00:00,999.8133333333334,-5.796666666666667,267.38000000000005,-7.19,89.8,3.9600000000000004,3.555,0.405,2.2133333333333334,3.555,1300.9466666666665,1.2983333333333331,2.106666666666667,146.2
2009-01-01 15:00:00,999.985,-5.483333333333333,267.68,-6.873333333333332,89.85000000000001,4.055000000000001,3.643333333333333,0.4116666666666666,2.27,3.643333333333333,1299.6083333333333,1.1833333333333336,1.7716666666666665,145.68333333333334
2009-01-01 16:00:00,1000.0733333333333,-5.321666666666666,267.8333333333333,-6.751666666666668,89.58333333333333,4.1066666666666665,3.6766666666666663,0.4266666666666667,2.29,3.6766666666666663,1298.9233333333334,1.1666666666666667,1.8150000000000002,140.04999999999998
2009-01-01 17:00:00,1000.1716666666666,-5.29,267.8566666666667,-6.769999999999999,89.25,4.115,3.6733333333333333,0.44333333333333336,2.2866666666666666,3.6733333333333333,1298.9033333333334,0.7783333333333333,1.42,154.76666666666668
